,affiliate,date,employer,localization,title,topic,url
87,État,26 Juin. 19,Agence régionale de santé Ile-de-France,Paris (75),Responsable du département « Pilotage médico-économique » H/F,Gestion budgétaire et financière,https://www.place-emploi-public.gouv.fr/offre-emploi/responsable-du-departement--pilotage-medico-economique--hf-reference-ARSIF_2019-237
88,État,26 Juin. 19,Agence régionale de santé Ile-de-France,Paris (75),Chargé  suivi et contrôle budgétaire H/F,-,https://www.place-emploi-public.gouv.fr/offre-emploi/charge--suivi-et-controle-budgetaire-hf-reference-ARSIF_2019-236
89,État,26 Juin. 19,Agence régionale de santé Ile-de-France,Paris (75),Gestionnaire administratif H/F,Relation et service à l'usager,https://www.place-emploi-public.gouv.fr/offre-emploi/gestionnaire-administratif-hf-reference-ARSIF_2019-235
90,État,26 Juin. 19,Agence régionale de santé Ile-de-France,Paris (75),Psychologue : Chargé d'orientation vers les injonctions thérapeutiques H/F,Affaires sociales et santé,https://www.place-emploi-public.gouv.fr/offre-emploi/psychologue--charge-d-orientation-vers-les-injonctions-therapeutiques-hf-reference-ARSIF_2019-234
91,État,26 Juin. 19,Agence régionale de santé Ile-de-France,Paris (75),Attaché de Direction H/F,Relation et service à l'usager,https://www.place-emploi-public.gouv.fr/offre-emploi/attache-de-direction-hf-reference-ARSIF_2019-231
92,État,26 Juin. 19,Agence régionale de santé Ile-de-France,Paris (75),Chargé(e) de mission Soins Non Programmés H/F,Affaires sociales et santé,https://www.place-emploi-public.gouv.fr/offre-emploi/chargee-de-mission-soins-non-programmes-hf-reference-ARSIF_2019-233
93,État,26 Juin. 19,Agence régionale de santé Ile-de-France,Val de Marne (94),Gestionnaire logistique H/F,Technique • Logistique • Maintenance,https://www.place-emploi-public.gouv.fr/offre-emploi/gestionnaire-logistique-hf-reference-ARSIF_2019-232
94,État,26 Juin. 19,Agence régionale de santé Ile-de-France,Val d'Oise (95),Responsable de département Veille et Sécurité Sanitaire (H/F) H/F,Affaires sociales et santé,https://www.place-emploi-public.gouv.fr/offre-emploi/responsable-de-departement-veille-et-securite-sanitaire-hf-hf-reference-ARSIF_2019-230
95,État,26 Juin. 19,Agence régionale de santé Ile-de-France,Seine et Marne (77),Chargée/Chargé de suivi de projets H/F,Élaboration et pilotage des politiques publiques,https://www.place-emploi-public.gouv.fr/offre-emploi/chargeecharge-de-suivi-de-projets-hf-reference-ARSIF_2019-222
96,État,26 Juin. 19,Agence régionale de santé Ile-de-France,Paris (75),Apprentissage Chargé des marchés publics (H/F) H/F,Affaires juridiques,https://www.place-emploi-public.gouv.fr/offre-emploi/apprentissage-charge-des-marches-publics-hf-hf-reference-ARSIF_2019-229
97,État,26 Juin. 19,Agence régionale de santé Ile-de-France,Yvelines (78),Apprentissage Chargée de mission autonomie (H/F) H/F,Affaires sociales et santé,https://www.place-emploi-public.gouv.fr/offre-emploi/apprentissage-chargee-de-mission-autonomie-hf-hf-reference-ARSIF_2019-228
98,État,26 Juin. 19,Agence régionale de santé Ile-de-France,Paris (75),Apprentissage Chargé(e)  de mission Plan Régional Santé Environnement H/F,Affaires sociales et santé,https://www.place-emploi-public.gouv.fr/offre-emploi/apprentissage-chargee--de-mission-plan-regional-sante-environnement-hf-reference-ARSIF_2019-227
99,État,26 Juin. 19,Agence régionale de santé Ile-de-France,Paris (75),Apprentissage Chargé d'études sur l'habitat indigne H/F,Affaires sociales et santé,https://www.place-emploi-public.gouv.fr/offre-emploi/apprentissage-charge-d-etudes-sur-l-habitat-indigne-hf-reference-ARSIF_2019-226
100,État,26 Juin. 19,Agence régionale de santé Ile-de-France,Paris (75),Apprentissage périnatalité Grande Précarité,Affaires sociales et santé,https://www.place-emploi-public.gouv.fr/offre-emploi/apprentissage-perinatalite-grande-precarite-reference-ARSIF_2019-225
101,État,26 Juin. 19,Agence régionale de santé Ile-de-France,Val d'Oise (95),Apprentissage Chargé de mission au département Ville Hôpital H/F,Affaires sociales et santé,https://www.place-emploi-public.gouv.fr/offre-emploi/apprentissage-charge-de-mission-au-departement-ville-hopital-hf-reference-ARSIF_2019-224
102,État,26 Juin. 19,Agence régionale de santé Ile-de-France,Paris (75),Apprentissage Régulation Soins non programmés H/F,Affaires sociales et santé,https://www.place-emploi-public.gouv.fr/offre-emploi/apprentissage-regulation-soins-non-programmes-hf-reference-ARSIF_2019-223
103,État,26 Juin. 19,Agence régionale de santé Ile-de-France,Paris (75),STAGIAIRE secrétariat GED H/F,-,https://www.place-emploi-public.gouv.fr/offre-emploi/stagiaire-secretariat-ged-hf-reference-ARSIF_2019-220
104,État,26 Juin. 19,Agence régionale de santé Ile-de-France,Seine Saint-Denis (93),Gestionnaire des archives courantes H/F,-,https://www.place-emploi-public.gouv.fr/offre-emploi/gestionnaire-des-archives-courantes-hf-reference-ARSIF_2019-221
